PeriodEnd,PeriodStart,Time,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-07-07T00:05:00Z,2021-07-07T00:00:00Z,5,PT5M,41.4,81,0,4.7,111,700,354,465,362,862,25.3,10.7,0,958.8,283,6.3,60,0.23
2021-07-07T00:10:00Z,2021-07-07T00:05:00Z,10,PT5M,41.4,81,0,4.7,110,690,338,447,343,851,25.3,10.7,0,958.8,282,6.3,61,0.23
2021-07-07T00:15:00Z,2021-07-07T00:10:00Z,15,PT5M,41.4,80,0,4.7,108,679,322,429,324,839,25.3,10.8,0,958.7,282,6.3,62,0.23
2021-07-07T00:20:00Z,2021-07-07T00:15:00Z,20,PT5M,41.3,79,0,4.7,106,667,305,411,305,826,25.3,10.8,0,958.7,281,6.3,63,0.23
2021-07-07T00:25:00Z,2021-07-07T00:20:00Z,25,PT5M,41.3,79,0,4.7,104,655,289,393,286,812,25.3,10.8,0,958.7,280,6.3,64,0.23
2021-07-07T00:30:00Z,2021-07-07T00:25:00Z,30,PT5M,41.2,78,0,4.7,102,642,273,375,267,797,25.3,10.8,0,958.6,280,6.3,65,0.23
2021-07-07T00:35:00Z,2021-07-07T00:30:00Z,35,PT5M,41.2,78,0,4.7,100,628,257,357,248,782,25.2,10.9,0,958.6,279,6.3,66,0.23
2021-07-07T00:40:00Z,2021-07-07T00:35:00Z,40,PT5M,41.2,77,0,4.7,98,613,241,339,230,765,25.2,10.9,0,958.6,278,6.3,67,0.23
2021-07-07T00:45:00Z,2021-07-07T00:40:00Z,45,PT5M,41.1,76,0,4.7,96,597,225,321,212,747,25.2,10.9,0,958.5,278,6.3,68,0.23
2021-07-07T00:50:00Z,2021-07-07T00:45:00Z,50,PT5M,41.1,76,0,4.7,93,580,209,302,194,728,25.2,10.9,0,958.5,277,6.3,69,0.23
2021-07-07T00:55:00Z,2021-07-07T00:50:00Z,55,PT5M,41,75,0,4.7,91,563,194,284,176,705,25.2,11,0,958.5,276,6.3,70,0.23
2021-07-07T01:00:00Z,2021-07-07T00:55:00Z,60,PT5M,41,75,0,4.7,88,545,178,266,159,669,25.2,11,0,958.4,276,6.3,71,0.23
2021-07-07T01:05:00Z,2021-07-07T01:00:00Z,65,PT5M,40.9,74,0.3,4.8,86,519,161,248,143,625,25.2,11.1,0,958.4,275,6.3,72,0.23
2021-07-07T01:10:00Z,2021-07-07T01:05:00Z,70,PT5M,40.8,74,1.4,4.8,88,474,140,228,129,562,25.2,11.2,0,958.4,274,6.2,73,0.23
