#Meteo hourly data
#Site, Solcast_site_-111.973816_33.073528
#Country, United States
#Data Source, Solcast https://solcast.com
#Time step, 1
#Latitude, 33.0735
#Longitude, -111.9738
#Altitude, 360
#Time Zone, -8.0
Year,Month,Day,Hour,Minute,Tamb,Azimuth,Cloudopacity,DewPoint,DHI,DNI,EBH,GHI,Pw,SnowDepth,Pressure,WindDir,WindVel,AlbedoDaily,Zenith
Year,Month,Day,Hour,Minute,[deg C],[degree],[%],[deg C],[W/m2],[W/m2],[W/m2],[W/m2],[cm],[cm],[mbar],[degree],[m/s],[],[degree]
2021,6,30,0,0,30.3,-16,26.5,13.3,0,0,0,0,3.71,0.0,962.3,317,3.6,0.23,122
2021,6,30,1,0,29.7,-31,20.3,14.6,0,0,0,0,3.77,0.0,962.7,315,3.8,0.23,117
2021,6,30,2,0,28.8,-43,21.0,15.1,0,0,0,0,3.8,0.0,963.3,322,2.8,0.23,109
2021,6,30,3,0,28.3,-54,21.3,15.1,0,0,0,0,3.76,0.0,963.6,345,2.3,0.23,100
2021,6,30,4,0,28.4,-62,10.9,15.0,11,30,3,14,3.7,0.0,964.0,7,2.2,0.23,89
2021,6,30,5,0,29.1,-70,0.0,15.2,68,324,74,143,3.65,0.0,964.5,35,2.4,0.23,78
2021,6,30,6,0,30.5,-77,0.0,15.3,116,542,226,342,3.64,0.0,964.9,52,2.3,0.23,66
2021,6,30,7,0,31.9,-84,0.0,15.2,149,664,398,547,3.67,0.0,965.1,59,1.3,0.23,53
2021,6,30,8,0,33.2,-92,0.0,15.0,173,733,556,729,3.69,0.0,964.9,42,0.7,0.23,41
2021,6,30,9,0,34.6,-103,1.3,14.7,212,737,647,859,3.71,0.0,964.6,148,0.4,0.23,28
2021,6,30,10,0,36.1,-124,7.5,14.4,326,594,567,893,3.72,0.0,964.1,216,1.0,0.23,17
2021,6,30,11,0,37.4,-179,3.3,13.9,250,726,714,964,3.71,0.0,963.4,267,1.9,0.23,11
2021,6,30,12,0,38.7,125,0.0,13.2,188,813,778,967,3.65,0.0,962.4,281,3.6,0.23,17
2021,6,30,13,0,39.4,103,0.0,12.6,195,769,678,873,3.6,0.0,961.5,289,5.8,0.23,28
2021,6,30,14,0,39.5,92,0.4,12.2,183,718,547,730,3.53,0.0,960.9,293,6.9,0.23,40
2021,6,30,15,0,39.1,84,10.2,12.3,249,411,247,496,3.5,0.0,960.5,303,6.2,0.23,53
2021,6,30,16,0,38.8,77,51.2,12.4,129,123,60,189,3.58,0.0,960.6,323,5.3,0.23,65
2021,6,30,17,0,37.9,70,70.8,12.0,34,0,0,34,3.61,0.0,961.0,352,5.9,0.23,77
2021,6,30,18,0,34.8,63,50.0,12.9,10,0,0,10,3.62,0.0,961.6,24,6.5,0.23,89
2021,6,30,19,0,32.2,54,25.4,14.4,0,0,0,0,3.64,0.0,962.5,73,4.3,0.23,100
2021,6,30,20,0,31.7,44,79.0,15.1,0,0,0,0,3.66,0.0,962.9,146,3.3,0.23,109
2021,6,30,21,0,31.0,31,88.9,16.2,0,0,0,0,3.79,0.0,963.5,168,3.8,0.23,117
2021,6,30,22,0,30.2,16,42.9,16.8,0,0,0,0,3.92,0.0,963.9,162,3.9,0.23,122
2021,6,30,23,0,29.7,0,65.5,16.9,0,0,0,0,3.95,0.0,963.9,166,3.0,0.23,124
2021,7,1,0,0,29.2,-16,50.9,17.0,0,0,0,0,3.93,0.0,963.8,179,1.4,0.23,122
2021,7,1,1,0,28.8,-31,53.2,17.0,0,0,0,0,3.88,0.0,963.6,350,0.2,0.23,117
2021,7,1,2,0,28.4,-43,31.6,17.0,0,0,0,0,3.89,0.0,963.5,19,1.0,0.23,109
2021,7,1,3,0,27.9,-54,47.4,17.0,0,0,0,0,3.93,0.0,963.6,15,1.3,0.23,100
2021,7,1,4,0,28.0,-62,30.7,17.1,11,4,1,11,3.92,0.0,964.0,7,1.4,0.23,89
