PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-06-30T02:00:00Z,2021-06-30T01:00:00Z,PT60M,38.0,70,82.4,10.0,27,0,0,27,25,27,31.2,18.5,0.0,959.0,36,4.4,77,0.27
2021-06-30T03:00:00Z,2021-06-30T02:00:00Z,PT60M,36.3,63,46.1,9.9,4,3,0,5,4,4,31.4,20.1,0.0,959.3,53,5.5,89,0.27
2021-06-30T04:00:00Z,2021-06-30T03:00:00Z,PT60M,34.5,54,66.8,9.8,0,0,0,0,0,0,31.2,22.2,0.0,959.8,62,5.2,100,0.27
2021-06-30T05:00:00Z,2021-06-30T04:00:00Z,PT60M,33.3,43,63.4,9.8,0,0,0,0,0,0,31.3,23.7,0.0,960.7,65,4.5,109,0.27
2021-06-30T06:00:00Z,2021-06-30T05:00:00Z,PT60M,32.2,31,26.9,10.3,0,0,0,0,0,0,32.7,26.1,0.0,961.5,69,2.2,117,0.27
2021-06-30T07:00:00Z,2021-06-30T06:00:00Z,PT60M,30.9,16,31.9,11.4,0,0,0,0,0,0,34.9,30.2,0.0,962.1,318,1.2,122,0.27
2021-06-30T08:00:00Z,2021-06-30T07:00:00Z,PT60M,30.5,0,20.0,12.2,0,0,0,0,0,0,36.3,32.6,0.0,962.2,316,2.8,123,0.26
2021-06-30T09:00:00Z,2021-06-30T08:00:00Z,PT60M,30.3,-16,26.5,13.3,0,0,0,0,0,0,37.1,35.3,0.0,962.3,317,3.6,122,0.23
2021-06-30T10:00:00Z,2021-06-30T09:00:00Z,PT60M,29.7,-31,20.3,14.6,0,0,0,0,0,0,37.7,39.7,0.0,962.7,315,3.8,117,0.23
2021-06-30T11:00:00Z,2021-06-30T10:00:00Z,PT60M,28.8,-43,21.0,15.1,0,0,0,0,0,0,38.0,43.4,0.0,963.3,322,2.8,109,0.23
2021-06-30T12:00:00Z,2021-06-30T11:00:00Z,PT60M,28.3,-54,21.3,15.1,0,0,0,0,0,0,37.6,44.5,0.0,963.6,345,2.3,100,0.23
2021-06-30T13:00:00Z,2021-06-30T12:00:00Z,PT60M,28.4,-62,10.9,15.0,11,30,3,14,10,12,37.0,44.1,0.0,964.0,7,2.2,89,0.23
2021-06-30T14:00:00Z,2021-06-30T13:00:00Z,PT60M,29.1,-70,0.0,15.2,68,324,74,143,72,292,36.5,43.0,0.0,964.5,35,2.4,78,0.23
2021-06-30T15:00:00Z,2021-06-30T14:00:00Z,PT60M,30.5,-77,0.0,15.3,116,542,226,342,243,709,36.4,39.8,0.0,964.9,52,2.3,66,0.23
2021-06-30T16:00:00Z,2021-06-30T15:00:00Z,PT60M,31.9,-84,0.0,15.2,149,664,398,547,458,860,36.7,36.4,0.0,965.1,59,1.3,53,0.23
2021-06-30T17:00:00Z,2021-06-30T16:00:00Z,PT60M,33.2,-92,0.0,15.0,173,733,556,729,659,937,36.9,33.4,0.0,964.9,42,0.7,41,0.23
2021-06-30T18:00:00Z,2021-06-30T17:00:00Z,PT60M,34.6,-103,1.3,14.7,212,737,647,859,810,961,37.1,30.4,0.0,964.6,148,0.4,28,0.23
2021-06-30T19:00:00Z,2021-06-30T18:00:00Z,PT60M,36.1,-124,7.5,14.4,326,594,567,893,858,917,37.2,27.5,0.0,964.1,216,1.0,17,0.23
2021-06-30T20:00:00Z,2021-06-30T19:00:00Z,PT60M,37.4,-179,3.3,13.9,250,726,714,964,932,966,37.1,24.7,0.0,963.4,267,1.9,11,0.23
2021-06-30T21:00:00Z,2021-06-30T20:00:00Z,PT60M,38.7,125,0.0,13.2,188,813,778,967,930,996,36.5,22.1,0.0,962.4,281,3.6,17,0.23
2021-06-30T22:00:00Z,2021-06-30T21:00:00Z,PT60M,39.4,103,0.0,12.6,195,769,678,873,823,975,36.0,20.3,0.0,961.5,289,5.8,28,0.23
2021-06-30T23:00:00Z,2021-06-30T22:00:00Z,PT60M,39.5,92,0.4,12.2,183,718,547,730,662,933,35.3,19.8,0.0,960.9,293,6.9,40,0.23
2021-07-01T00:00:00Z,2021-06-30T23:00:00Z,PT60M,39.1,84,10.2,12.3,249,411,247,496,431,706,35.0,20.4,0.0,960.5,303,6.2,53,0.23
2021-07-01T01:00:00Z,2021-07-01T00:00:00Z,PT60M,38.8,77,51.2,12.4,129,123,60,189,163,267,35.8,20.7,0.0,960.6,323,5.3,65,0.23
2021-07-01T02:00:00Z,2021-07-01T01:00:00Z,PT60M,37.9,70,70.8,12.0,34,0,0,34,32,34,36.1,21.2,0.0,961.0,352,5.9,77,0.23
2021-07-01T03:00:00Z,2021-07-01T02:00:00Z,PT60M,34.8,63,50.0,12.9,10,0,0,10,9,10,36.2,26.8,0.0,961.6,24,6.5,89,0.23
2021-07-01T04:00:00Z,2021-07-01T03:00:00Z,PT60M,32.2,54,25.4,14.4,0,0,0,0,0,0,36.4,33.9,0.0,962.5,73,4.3,100,0.23
2021-07-01T05:00:00Z,2021-07-01T04:00:00Z,PT60M,31.7,44,79.0,15.1,0,0,0,0,0,0,36.6,36.8,0.0,962.9,146,3.3,109,0.23
2021-07-01T06:00:00Z,2021-07-01T05:00:00Z,PT60M,31.0,31,88.9,16.2,0,0,0,0,0,0,37.9,41.0,0.0,963.5,168,3.8,117,0.23
2021-07-01T07:00:00Z,2021-07-01T06:00:00Z,PT60M,30.2,16,42.9,16.8,0,0,0,0,0,0,39.2,44.5,0.0,963.9,162,3.9,122,0.23
2021-07-01T08:00:00Z,2021-07-01T07:00:00Z,PT60M,29.7,0,65.5,16.9,0,0,0,0,0,0,39.5,46.2,0.0,963.9,166,3.0,124,0.23
2021-07-01T09:00:00Z,2021-07-01T08:00:00Z,PT60M,29.2,-16,50.9,17.0,0,0,0,0,0,0,39.3,47.8,0.0,963.8,179,1.4,122,0.23
2021-07-01T10:00:00Z,2021-07-01T09:00:00Z,PT60M,28.8,-31,53.2,17.0,0,0,0,0,0,0,38.8,49.0,0.0,963.6,350,0.2,117,0.23
2021-07-01T11:00:00Z,2021-07-01T10:00:00Z,PT60M,28.4,-43,31.6,17.0,0,0,0,0,0,0,38.9,50.1,0.0,963.5,19,1.0,109,0.23
2021-07-01T12:00:00Z,2021-07-01T11:00:00Z,PT60M,27.9,-54,47.4,17.0,0,0,0,0,0,0,39.3,51.3,0.0,963.6,15,1.3,100,0.23
2021-07-01T13:00:00Z,2021-07-01T12:00:00Z,PT60M,28.0,-62,30.7,17.1,11,4,1,11,10,11,39.2,51.5,0.0,964.0,7,1.4,89,0.23
