PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SnowWater,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,AlbedoDaily
2021-06-30T00:05:00Z,2021-06-29T23:59:00Z,PT6M,38.8,81,44.0,10.2,244,0,0,244,232,244,30.4,18.0,0.0,958.7,13,2.0,60,0.27
2021-06-30T00:15:00Z,2021-06-30T00:09:00Z,PT6M,38.7,79,48.4,10.2,206,0,0,206,196,206,30.5,18.0,0.0,958.7,15,2.2,62,0.27
2021-06-30T00:25:00Z,2021-06-30T00:19:00Z,PT6M,38.7,78,49.7,10.1,183,0,0,183,174,183,30.6,18.0,0.0,958.7,16,2.5,64,0.27
2021-06-30T00:35:00Z,2021-06-30T00:29:00Z,PT6M,38.7,77,56.0,10.1,144,0,0,144,137,144,30.7,17.9,0.0,958.8,17,2.8,66,0.27
2021-06-30T00:45:00Z,2021-06-30T00:39:00Z,PT6M,38.7,76,63.7,10.0,106,0,0,106,101,106,30.8,17.9,0.0,958.8,17,3.0,68,0.27
2021-06-30T00:55:00Z,2021-06-30T00:49:00Z,PT6M,38.6,75,71.2,10.0,75,0,0,75,71,75,30.9,17.8,0.0,958.8,18,3.3,70,0.27
2021-06-30T01:05:00Z,2021-06-30T00:59:00Z,PT6M,38.6,74,75.2,9.9,56,0,0,56,53,56,31.0,17.9,0.0,958.8,20,3.6,72,0.27
2021-06-30T01:15:00Z,2021-06-30T01:09:00Z,PT6M,38.4,72,76.4,9.9,45,0,0,45,43,45,31.1,18.1,0.0,958.9,26,3.8,74,0.27
2021-06-30T01:25:00Z,2021-06-30T01:19:00Z,PT6M,38.2,71,81.9,10.0,29,0,0,29,28,29,31.2,18.3,0.0,959.0,32,4.1,76,0.27
2021-06-30T01:35:00Z,2021-06-30T01:29:00Z,PT6M,37.9,70,81.2,10.0,25,0,0,25,23,25,31.2,18.5,0.0,959.0,36,4.5,78,0.27
2021-06-30T01:45:00Z,2021-06-30T01:39:00Z,PT6M,37.7,69,85.9,10.0,15,0,0,15,14,15,31.3,18.8,0.0,959.1,40,4.8,80,0.27
2021-06-30T01:55:00Z,2021-06-30T01:49:00Z,PT6M,37.5,68,90.0,10.0,8,0,0,8,7,8,31.3,19.0,0.0,959.1,44,5.2,82,0.27
2021-06-30T02:05:00Z,2021-06-30T01:59:00Z,PT6M,37.3,66,85.7,10.0,8,0,0,8,7,8,31.4,19.2,0.0,959.2,47,5.5,84,0.27
2021-06-30T02:15:00Z,2021-06-30T02:09:00Z,PT6M,36.9,65,91.5,10.0,3,0,0,3,3,3,31.4,19.6,0.0,959.2,49,5.5,85,0.27
