,DaysToBloom,MedianLeafAngle,LeafAngleSDV,PoorStand?,PaniclesPerPlot,PanicleGrainWeight,EstimatedPlotYield,FlagLeafLength,FlagLeafWidth,ExtantLeafNumber,PlantHeight,ThirdLeafLength,ThirdLeafWidth,TillersPerPlant,StemDiameterLower,StemDiameterUpper,RachisLength,RachisDiameterLower,RachisDiameterUpper,PrimaryBranchNo,BranchInternodeLength
PI_655998,62.0,43.2,6.29,N,15.0,20.0,300.0,50.1,4.5,11.0,86.0,68.0,6.0,0.0,21.01,9.92,27.37,6.31,1.78,81.0,1.8
PI_564163,65.0,43.7,7.11,Y,11.0,,,34.0,5.3,12.0,102.0,72.0,8.0,0.67,25.89,11.19,27.1,6.96,2.66,60.0,1.87
PI_576396,64.0,45.4,7.8,N,12.0,38.0,456.0,24.2,3.6,12.0,90.0,60.0,5.0,0.0,16.02,7.3,9.63,5.42,4.61,35.33,1.77
PI_656023,73.0,17.1,7.4,N,16.0,22.4,358.4,41.2,5.0,14.0,150.0,54.0,6.0,0.33,15.58,6.51,24.7,3.93,1.2,73.33,1.97
PI_642992,74.0,40.45,12.45,Y,2.0,,,34.6,4.9,12.0,102.0,70.0,7.3,2.5,19.88,9.94,22.5,6.72,1.65,66.0,1.8
PI_329440,66.0,55.95,5.45,Y,6.0,,,44.6,5.0,15.0,73.0,63.5,6.3,1.0,22.69,9.87,20.6,7.29,2.69,42.0,1.75
PI_534128,71.0,35.6,7.51,N,18.0,2.4,43.2,31.0,4.6,12.0,102.0,58.5,7.0,0.0,21.4,9.32,11.77,6.39,2.93,53.67,1.13
PI_576418,67.0,40.8,3.29,N,10.0,29.7,297.0,37.8,3.8,13.0,120.0,75.5,7.0,0.33,21.53,8.89,30.37,6.4,2.22,67.33,1.63
PI_576425,64.0,44.2,4.33,N,14.0,33.5,469.0,41.2,4.5,14.0,80.0,56.0,6.5,0.0,24.92,11.09,23.4,8.86,2.59,88.0,1.57
PI_576366,53.0,60.8,10.35,N,12.0,33.4,400.79999999999995,36.7,5.5,9.0,59.0,35.0,9.0,1.67,21.15,11.0,15.73,8.3,3.84,84.33,1.67
PI_595714,64.0,43.9,12.05,N,13.0,29.3,380.9,42.5,4.1,15.0,70.0,56.0,6.0,0.33,24.23,9.67,15.7,6.69,2.71,59.0,1.6
PI_533986,66.0,69.0,10.59,N,11.0,48.8,536.8,42.5,4.5,12.0,110.0,69.0,7.5,1.33,23.54,10.45,23.93,7.26,1.26,66.33,1.63
PI_656024,79.0,27.0,1.99,Y,7.0,,,,,13.0,146.0,81.0,7.0,1.0,25.99,10.73,21.07,8.46,2.31,85.33,0.97
PI_564163,66.0,36.1,8.81,N,14.0,35.4,495.6,31.5,4.0,12.0,105.0,64.5,7.2,0.33,23.0,8.96,22.7,5.96,2.44,58.0,1.5
PI_533911,69.0,42.5,2.81,N,11.0,12.9,141.9,35.4,5.2,12.0,71.0,60.0,7.6,0.0,27.13,9.97,25.0,5.76,1.8,50.0,1.73
PI_656105,66.0,49.6,5.15,N,19.0,28.5,541.5,39.8,5.5,12.0,49.0,57.0,6.2,0.33,22.29,8.51,16.4,6.95,2.98,64.0,1.13
PI_656082,76.0,33.3,4.2,N,19.0,8.7,165.3,46.2,4.7,18.0,82.0,69.5,6.0,0.0,28.8,10.06,28.4,6.26,1.38,44.33,2.1
PI_533799,69.0,30.0,3.92,N,11.0,28.2,310.2,30.0,5.3,13.0,70.0,71.5,8.0,0.0,20.2,7.82,15.6,5.14,1.87,58.33,1.27
PI_533757,69.0,39.7,7.46,N,12.0,52.2,626.4000000000001,33.0,6.5,13.0,78.0,,,0.0,26.1,11.74,15.4,6.86,3.54,58.33,1.73
PI_533954,63.0,51.7,5.59,N,20.0,11.5,230.0,24.5,3.2,11.0,110.0,,,0.0,18.16,9.66,12.43,6.42,4.05,72.33,0.83
PI_595745,64.0,63.0,12.0,N,11.0,23.2,255.2,46.2,3.8,11.0,120.0,,,0.0,23.8,12.4,29.57,10.33,2.95,141.67,2.43
PI_656007,73.0,34.0,2.18,N,9.0,21.9,197.1,33.5,3.7,11.0,73.0,,,0.0,20.47,6.25,14.4,3.61,1.72,23.67,1.87
PI_533938,64.0,56.4,9.24,N,16.0,36.3,580.8,34.0,4.5,12.0,175.0,65.6,8.3,0.33,19.81,9.32,,,,,
